instnm,total_patents,LATITUDE,LONGITUDE,count
Lehigh University,216,40.6066256980001,-75.377095149,4628
Millersville University Of Pennsylvania,16,39.9956770000001,-76.3525549999999,6760
Shippensburg University Of Pennsylvania,7,40.061915991,-77.5219861049999,6884
West Chester University Of Pennsylvania,24,39.951958018,-75.5985050799999,9146
Swarthmore College,28,39.905985964,-75.351638824,1408
Temple University,28,39.9807119970001,-75.158451607,15236
University Of Pennsylvania,201,39.951001933,-75.1936178779999,9653
Villanova University,47,40.035771633,-75.3402221859999,7066
Pennsylvania College Of Technology,21,41.236891895,-77.0254139849999,6823
Brown University,195,41.82685309,-71.402925109,5998
Providence College,19,41.844192837,-71.437905829,4200
Rhode Island School Of Design,154,41.8259348220001,-71.407692034,1421
Roger Williams University,22,41.6482086770001,-71.260560609,3317
University Of Rhode Island,66,41.489334,-71.5287079999999,9704
Clemson University,169,34.677329,-82.834463,13325
College Of Charleston,23,32.783034441,-79.9368832179999,8848
Furman University,30,34.924725729,-82.439302932,3049
Christian Brothers University,21,35.1274366170001,-89.983240721,1058
Middle Tennessee State University,13,35.8481114190001,-86.367271207,15162
Tennessee Technological University,37,36.1746591740001,-85.503956864,6146
Vanderbilt University,132,36.144429824,-86.804874645,6817
Baylor University,48,31.546149574,-97.1184525799999,11730
Blinn College,18,30.159713074,-96.4096771499999,13658
Lamar University,13,30.044274,-94.073389,7083
Letourneau University,50,32.4676582430001,-94.7272601399999,1191
University Of North Texas,31,33.2109580000001,-97.151211,15127
Rice University,143,29.716218473,-95.404976867,3066
Sam Houston State University,7,30.7135526860001,-95.548627091,8705
Southern Methodist University,28,32.8452542960001,-96.78485525,5500
Texas State University,32,29.8880766830001,-97.939154554,14768
Tarrant County College District,27,32.747500937,-97.327948441,27358
Texas Christian University,20,32.7095675620001,-97.3615366,6099
Trinity University,49,29.462860371,-98.482577436,2686
Brigham Young University,441,40.2508510000001,-111.649281,28861
Dixie State University,26,37.1038748710001,-113.565893952,6379
University Of Utah,133,40.7624835140001,-111.84604402,13555
Utah State University,75,41.7407480000001,-111.81391,12974
Snow College,20,39.3611117230001,-111.581542685,4304
Weber State University,46,41.1925803870001,-111.944839646,13453
Middlebury College,10,44.0091170000001,-73.176068,2470
James Madison University,56,38.4353318500001,-78.87166267,14985
Northern Virginia Community College,45,38.834039428,-77.236678562,22619
Old Dominion University,15,36.884919123,-76.309652591,7761
Radford University,14,37.136914113,-80.549731488,7887
Virginia Commonwealth University,60,37.5476308040001,-77.453597164,12811
University Of Richmond,16,37.5773993330001,-77.538797178,3321
University Of Mary Washington,11,38.301815581,-77.473864512,3682
George Mason University,23,38.8308802880001,-77.307939513,9661
Virginia Military Institute,16,37.790756635,-79.4352489899999,1388
Bellevue College,49,47.5847780600001,-122.149954652,8886
Clark College,17,45.634286757,-122.652290951,7391
Gonzaga University,31,47.668144,-117.403062,3574
Pacific Lutheran University,26,47.145494,-122.445372,2776
Seattle Pacific University,40,47.649226578,-122.362572342,2931
Seattle University,47,47.610137895,-122.319699905,2583
University Of Puget Sound,28,47.2635938930001,-122.481198784,2787
Washington State University,122,46.7304480000001,-117.158168,12977
Western Washington University,218,48.737378554,-122.485015772,10996
Whitman College,27,46.0714875680001,-118.329714327,1666
Marshall University,0,38.4226100000001,-82.43065,9287
Marquette University,123,43.0371829200001,-87.931088255,7675
Milwaukee School Of Engineering,122,43.0453643660001,-87.907690878,1755
University Of Wyoming,34,41.311943,-105.57204,6645
University Of Central Florida,190,28.6021594320001,-81.200889272,21490
Utah Valley University,83,40.2785117010001,-111.717057774,16911
Kirkwood Community College,17,41.9112678220001,-91.6511715359999,13331
Montgomery County Community College,18,40.1756093280001,-75.276093498,7863
Dunwoody College Of Technology,14,44.973081366,-93.290068699,1704
Baker College,3,42.9747642,-83.694679067,15640
Central New Mexico Community College,16,35.07599,-106.624957,15802
Wake Technical Community College,20,35.650151264,-78.706125589,7098
Clackamas Community College,15,45.3231854430001,-122.574272388,5977
Salt Lake Community College,43,40.671574891,-111.942809423,17404
Waukesha County Technical College,43,43.0714444770001,-88.256292289,4512
Valencia College,41,28.5226463230001,-81.464168036,22616
Illinois Central College,19,40.70624687,-89.5254112649999,8582
College For Creative Studies,123,42.3618391090001,-83.0623520629999,498
Columbus State Community College,23,39.969976349,-82.98765394,17603
Des Moines Area Community College,20,41.707348,-93.611597,11857
Academy Of Art University,22,37.7877475290001,-122.400685638,2195
Moraine Valley Community College,28,41.6946130000001,-87.836915,11740
College Of Lake County,16,42.355881013,-88.012392109,7666
Hillsborough Community College,36,27.934808,-82.4562969999999,15124
Johnson County Community College,19,38.9230610600001,-94.730828151,12841
College Of The Canyons,26,34.4031209880001,-118.569523652,9011
Macomb Community College,90,42.505281,-82.972144,17719
Saddleback College,63,33.552162755,-117.665840108,10028
Moraine Park Technical College,40,43.785223672,-88.417655705,4261
Northern Kentucky University,15,39.0292210000001,-84.4659589999999,9234
Tulsa Community College,32,36.1067878100001,-95.908250395,10879
University Of North Florida,21,30.2693131980001,-81.5083080589999,7534
Oakton Community College,21,42.061893324,-87.8806439969999,6176
Pepperdine University,26,34.041683488,-118.709380444,2857
Erie Community College,12,42.881771024,-78.872679024,11930
Loyola Marymount University,32,33.970855048,-118.415745082,5040
Milwaukee Institute Of Art & Design,124,43.0309172,-87.907924726,640
Savannah College Of Art And Design,160,32.0774394650001,-81.100234402,4675
